Date,Adjusted Close,Linear Regression,LSTM,Random Forest Regressor
2022-03-10,158.067886,157.617734,161.9965,158.1780249
2022-03-11,154.288681,154.3113051,158.51393,154.6472021
2022-03-14,150.190399,150.7257159,155.2519,150.2322602
2022-03-15,154.647644,154.625362,151.75122,154.1828811
2022-03-16,159.134811,158.5511874,154.85493,158.976351
2022-03-17,160.16188,159.4497707,158.79283,160.0708287
2022-03-18,163.512283,162.3810401,159.82307,163.4698852
2022-03-21,164.90831,163.6024246,162.47992,164.7246866
2022-03-22,168.338501,166.6035008,163.62927,168.0355367
2022-03-23,169.724533,167.8161411,166.55406,169.6669814
2022-03-24,173.573532,171.1836326,167.6804,173.7511518
2022-03-25,174.221664,171.7506839,171.13857,174.2161807
2022-03-28,175.099167,172.5184113,171.59566,175.0047541
2022-03-29,178.44957,175.4496807,172.51195,178.5687925
2022-03-30,177.26297,174.4115239,175.75774,177.2844622
2022-03-31,174.111984,171.6547247,174.36137,174.1411567
2022-04-01,173.812836,171.3929994,171.73615,173.7980634
2022-04-04,177.931061,174.996037,172.00217,177.6022357
2022-04-05,174.560699,172.0473059,176.07904,174.3742558
2022-04-06,171.33992,169.2294441,172.46315,171.4160762
2022-04-07,171.649017,169.4998735,169.99496,171.5252207
2022-04-08,169.604874,167.711451,170.59497,169.6506103
2022-04-11,165.277252,163.9252124,168.73152,165.2703609
2022-04-12,167.181808,165.5915098,165.04716,167.1191142
2022-04-13,169.913986,167.9818937,166.90784,169.7273133
2022-04-14,164.818558,163.5239004,169.22643,164.8507073
2022-04-18,164.599197,163.3319819,164.47115,164.657044
2022-04-19,166.922531,165.3646679,164.40633,166.7398796
2022-04-20,166.753021,165.2163636,166.32039,166.8260004
2022-04-21,165.945328,164.5097121,166.05534,165.8618563
2022-04-22,161.328537,160.4704792,165.26688,161.3426441
2022-04-25,162.415436,161.4214076,161.23256,162.390337
2022-04-26,156.352783,156.1171893,162.19081,156.5942233
2022-04-27,156.123444,155.9165399,157.17065,156.2734886
2022-04-28,163.173264,162.0844315,156.85324,163.1948596
